index,post_id,post,CoHARE_im_batch4_grad8,CoHARE_im_batch4_grad8_pred,CTI_im_batch4_grad8,CTI_im_batch4_grad8_pred,C_im_batch4_grad8,C_im_batch4_grad8_pred,target,implied_statement
541,541,i'm not anti-white racist . i am anti-fascist and far-right : both islamic and your variety .,Miss,"(B) Not hate. 1.The post states that the person is not anti-white racist but rather anti-fascist and far-right. 2. The post mentions being both Islamic and the ""your variety."" Based on this information, it is difficult to determine whether the post is hate speech or not. The post does not contain any explicit hate speech or derogatory language towards any specific group. However, it does mention being both anti-white and anti-fascist, which could potentially be seen as promoting discrimination or prejudice. Therefore, it is important to consider the context and intent behind the post.",O,(A) Hate.,O,(A) Hate.,muslims,Muslims are inferior
550,550,here's an example scenario : christmas . black family doesn't have as much money as white family . white presents better .,Miss,"(A) Hate. 1.The post starts by mentioning Christmas, which is a common holiday season. 2. It then states that the black family doesn't have as much money as the white family. This implies that black families are financially disadvantaged. 3. The post then goes on to say that white presents are better. This implies that white people are better than black people in terms of financial resources. This post can be considered offensive because it perpetuates negative stereotypes about black people and implies that they are financially disadvantaged. It promotes a negative and discriminatory view of black people based on their race. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
554,554,white identity : racial consciousness in the 21st centuryjared taylorsupport and buy through them .,Miss,"(B) Not hate. 1.The post mentions ""white identity"" and ""racial consciousness in the 21st century."" This suggests that the post is discussing the concept of racial identity and its relevance to the 21st century. 2. The post mentions ""jared taylor"" and ""support and buy through them."" This suggests that the post is discussing the idea of supporting and buying through a specific group or organization. Based on this analysis, the post does not appear to be hate speech. It is discussing the concept of white identity and the importance of supporting and buying through a specific group.",O,(A) Hate.,O,(A) Hate.,minorities,Minorities are inferior
582,582," robert  check out the jihadi  "" freedom fighter "" "" who resisted "" "" imperialism "" "" today by blowing up other muslims in karachi . """,Miss,"(A) Hate. 1.The post mentions ""jihadi,"" which is a term often associated with extremist Islamists. This targets Muslims as it associates them with a violent and extremist ideology. 2. The post mentions a ""freedom fighter"" who resisted imperialism by blowing up other Muslims in Karachi. This implies that Muslims are violent and pose a threat to others. 3. The post concludes by stating that Muslims are violent by mentioning the act of blowing up other Muslims. This implies that Muslims are violent and pose a threat to others. Overall, the post targets Muslims by associating them with extremist ideologies and implies that they are violent and pose a threat to others. This can be considered offensive as it promotes negative stereotypes and perpetuates discrimination against Muslims. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
595,595,you are the personification of white guilt . you disgust me .,Miss,"(B) Not hate. 1.The post starts by stating ""you are the personification of white guilt."" This statement is expressing a negative opinion about someone's behavior or beliefs. 2. The post then continues with ""you disgust me."" This statement expresses a strong negative emotion towards the person being addressed. Based on this analysis, the post can be considered as expressing a negative opinion about someone's behavior or beliefs. However, it does not contain any explicit hate speech or derogatory language towards a specific race or group. Therefore, it can be categorized as a strong expression of personal disgust rather than hate speech.",O,(A) Hate.,O,(A) Hate.,white people,White people are disgusting.
607,607,white births now the majority of births in the us again ! #ccot # via,Miss,"(A) Hate. 1.The post mentions ""white births"" being the majority of births in the US again. This implies that the majority of births are white. 2. The use of the hashtag #ccot (which stands for ""Christian Conservatives on Twitter"") suggests that the post is targeting conservatives who hold conservative political views. 3. The use of the hashtag #via implies that the post is sharing or promoting a source or source that supports the idea that white births are the majority of births in the US again. 4. The implied meaning of the post is that conservatives are responsible for the majority of births in the US. This post can be considered offensive because it targets conservatives by implying that they are responsible for the majority of births in the US. It promotes a negative stereotype that conservatives are racists. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
622,622,any mexi attending sdsu is more priviledged than 99 % of whites who ever lived in the us #altright stfu mexi,Miss,"(A) Hate. 1.The post specifically mentions ""any Mexican attending sdsu"" which implies that Mexicans are more privileged than whites who have ever lived in the US. This targets Mexicans by singling them out as the group that is more privileged. 2. The post then uses the hashtag #altright, which is associated with a far-right political movement known for its white supremacist and white nationalist ideologies. This further targets Mexicans by associating them with a group that is often associated with white supremacy and racism. 3. The post concludes with the hashtag #altright, which is a derogatory term used to mock and belittle Mexicans. This further targets Mexicans by implying that they are not deserving of the same privileges as whites. Overall, the post is offensive because it targets Mexicans by singling them out as the group that is more privileged than whites who have ever lived in the US. It promotes a negative stereotype and perpetuates discrimination against Mexicans. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
634,634,jihad : story of white slavery,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,muslims,Muslims think white people are slaves.
642,642,denying the existence of white culture is white culture  you nimwit .,Miss,"(B) Not hate. 1.The post starts by stating ""denying the existence of white culture is white culture."" This statement is expressing an opinion about the existence of white culture. 2. The post then addresses the reader as ""you nimwit."" This is a derogatory term used to insult someone's intelligence or intelligence. Based on this analysis, the post can be considered offensive or disrespectful, but it does not explicitly promote hate or discrimination towards a specific group. Therefore, it may not be classified as hate speech, but it does contain derogatory language and insults.",O,(A) Hate.,O,(A) Hate.,whites,Whites are dishonest
680,680,lewis is one of the racist black man around,Miss,"(A) Hate. 1.The post specifically mentions ""lewis"" as being ""one of the racist black man around."" This targets black people by singling out a specific individual based on their race. 2. The post implies that black people are inherently racist by stating that Lewis is one of the ""racist black man around."" This generalization is offensive because it stereotypes and stereotypes an entire racial group based on the actions or beliefs of a few individuals. 3. The post also implies that black people are inherently racist by stating that Lewis is one of the ""racist black man around."" This perpetuates negative stereotypes and promotes a negative and discriminatory view of black people as a whole. Overall, the post is offensive because it targets black people, makes a negative generalization about their behavior, and promotes a negative stereotype about their character. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
714,714,why so much hate on hate ? blacks hate their on race ? sad !,Miss,"(A) Hate. 1.The post starts by questioning why there is so much hate on hate. This implies that there is a pattern of promoting hate and discrimination against black people. 2. The post then states that black people hate their own race. This statement generalizes and stereotypes black people as having a deep-seated hatred towards their own race. 3. The post concludes by expressing sadness about this alleged hate. This implies that black people are inherently hateful and that their race is a factor in their feelings of hatred. Overall, the post targets black people by making a generalization about their feelings of hate and implying that they are inherently hateful. This can be considered offensive as it perpetuates stereotypes and promotes a negative and discriminatory view of a racial group. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
748,748,white nationalist white supremacists . white nationalists just want america to remain a majority white country .,Miss,"(A) Hate. 1.The post specifically mentions ""white nationalist white supremacists,"" which implies that it is targeting white nationalists. 2. The post states that white nationalists want America to remain a majority white country. This implies that white nationalists have a desire for a predominantly white population in America. 3. The post further implies that white nationalists are advocating for a majority white population in America. This post can be considered offensive because it generalizes and stereotypes white nationalists as a group that promotes a majority white population. It promotes a negative and discriminatory view of white nationalists, which can be hurtful and offensive to individuals who identify as white nationalists. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
793,793," romanian mayor under fire by jews  "" because he looks like adolf hitler "" "" via """,Miss,"(A) Hate. 1.The post specifically mentions a ""Romanian mayor under fire by Jews."" This targets Jews by singling them out as the group responsible for the fire. 2. The post then states that the reason for the fire is because the mayor looks like Adolf Hitler. This implies that Jews are blaming the mayor for their appearance, suggesting that they are blaming the mayor for their appearance. 3. The use of quotation marks around ""via"" suggests that the post is quoting or quoting someone else's statement, which suggests that the post is quoting or quoting someone else's statement. Overall, the post targets Jews by singling them out as the cause of the fire and implying that they are blaming the mayor for their appearance. This can be seen as offensive because it perpetuates negative stereotypes and promotes discrimination against Jews. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
825,825,"  "" they accumulated "" "" that's a joke ! what non-whites are fed by activists to keep their power . """,Miss,"(B) Not hate. 1.The post starts with the phrase ""they accumulated,"" which could be interpreted as a reference to a group of people. 2. The next part of the post states, ""that's a joke!"" This statement is dismissive and mocking, suggesting that the previous statement is not true. 3. The post then mentions ""non-whites"" being fed by activists to keep their power. This statement implies that non-whites are being manipulated or manipulated by activists to maintain their power. Based on this analysis, the post does not appear to be hate speech. It expresses a critical opinion about the actions of activists and their alleged manipulation of non-whites. However, it does not contain any explicit or direct derogatory language targeting a specific race, ethnicity, religion, or other protected group.",O,(A) Hate.,O,(A) Hate.,non-white people,non-white people are subservient
826,826,hillary * white lion awakeningwhite might !,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,non-white people,non-white people are enemies
829,829,televizion is good for jew !,Miss,"(B) Not hate. 1.The post states ""televizion is good for jew!"" 2. It does not contain any explicit derogatory language or offensive slurs. 3. It does not target or discriminate against any specific group based on their race, religion, ethnicity, or any other protected characteristic. 4. It does not incite violence or promote harm towards any individual or group. Based on these steps, the post does not appear to be hate speech.",O,(A) Hate.,O,(A) Hate.,jews,Jews control the media
859,859,great podcast for those interested in white identity #whitenationalism #whitepride # via,Miss,"(A) Hate. 1.The post includes the hashtags #whitenationalism and #whitepride, which suggest a focus on white identity and pride. 2. The use of the hashtag #whitenationalism suggests a belief in the superiority of white people over other racial or ethnic groups. 3. The use of the hashtag #whitepride further emphasizes the focus on white identity and implies a sense of superiority. 4. The post does not provide any context or explanation for why these hashtags are being used, making it difficult to determine the intention behind the use of these hashtags. 5. The implied meaning of the post is that white people are superior to other races. This is derived from the combination of the hashtags and the focus on white identity, which suggests a belief in the superiority of white people over other racial or ethnic groups. Therefore, the post can be considered offensive as it promotes a discriminatory and exclusionary ideology. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
861,861,pro-white : the right of whites to a sense of racial consciousness  identity  pride  unity  organization & destiny . no hate #thursdaythoughts,Miss,"(B) Not hate. 1.The post is promoting the idea of ""pro-white"" which refers to a belief in the superiority of white people. 2. The post mentions the right of whites to a sense of racial consciousness, identity pride, unity, organization, and destiny. 3. The post concludes with the hashtag #thursdaythoughts, indicating that the post is promoting a positive and inclusive message. Based on this analysis, the post does not appear to be hate speech. It promotes the idea of racial pride, unity, and destiny, which are important aspects of promoting racial pride and equality.",O,(A) Hate.,O,(A) Hate.,white people,White people have voice silenced by minorities
876,876," sez  "" we don't have a jew problem or black problem . we have white problem "" "" no . "" "" we "" "" don """,Miss,"(B) Not hate. 1.The post starts by stating ""we don't have a jew problem or black problem. we have white problem."" This statement seems to be a generalization about a specific group of people, implying that they do not have a problem with Jews or black people. 2. The post then continues with ""no. we're 'we' don'."" This statement is cut off and incomplete, so it is difficult to determine the full context or meaning behind it. Based on the limited information provided, it is not possible to definitively determine whether the post is hate speech or not. The incomplete nature of the statement makes it unclear what the intention or meaning behind it is.",O,(A) Hate.,O,(A) Hate.,white people,White people cause more problems than Jews and blacks.
894,894,why are you so lost ! ! legal immigration is not racist them being here undocumented is wrong ! ! !,Miss,"(A) Hate. 1.The post starts by asking a question, ""why are you so lost!"" This implies that the person being addressed is confused or confused about something. 2. The post then states that ""legal immigration is not racist"" and ""they being here undocumented is wrong."" This implies that the person believes that legal immigration is not racist but that undocumented immigrants are not. 3. The post concludes by stating that undocumented immigrants are wrong. This implies that the person believes that undocumented immigrants are not deserving of legal status and should be deported. Overall, the post targets undocumented immigrants by suggesting that they are not deserving of legal status and implies that they are not deserving of legal status. This can be considered offensive as it generalizes and stereotypes an entire group of people based on their immigration status. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
906,906,i more and more think is right . black and white can't live together . we should just find some way peacefully to separate .,Miss,"(B) Not hate. 1.The post states that ""black and white can't live together."" This statement is expressing a belief that black people and white people cannot coexist peacefully. 2. The post suggests that black people and white people should separate peacefully. This statement is advocating for a separation based on race. Based on this analysis, the post does not appear to be hate speech. It expresses a belief about the separation of black and white people and suggests a peaceful solution to the issue.",O,(A) Hate.,O,(A) Hate.,black and white people,Black and white people hate each other
